,mean_temperature,max_temperature,min_temperature,mean_dewPoint,total_precipitation,mean_windSpeed,mean_visibility
2017-01-01,10.88888888888889,17.38888888888889,4.888888888888888,8.0,0.0,1.2346656,3.5405480000000003
2017-01-02,12.77777777777778,21.0,6.77777777777778,4.388888888888888,0.0,1.4918876,7.24203
2017-01-03,14.833333333333334,23.77777777777778,9.77777777777778,1.3333333333333326,0.0,1.9034428,7.0810960000000005
2017-01-04,12.611111111111112,21.27777777777778,4.000000000000002,1.3888888888888888,0.0,1.5947764,8.0467
2017-01-05,11.61111111111111,18.5,5.0,7.611111111111112,0.0,2.057776,5.9545580000000005
2017-01-06,12.333333333333336,20.0,5.0,9.166666666666666,0.0,0.9259992,4.184284
2017-01-07,10.5,19.61111111111111,5.0,7.166666666666667,0.0,0.8745548,6.276426
2017-01-08,11.166666666666666,18.38888888888889,5.0,8.61111111111111,0.0,1.1317768,5.9545580000000005
2017-01-09,10.77777777777778,16.0,7.000000000000001,8.277777777777779,0.0,1.6976652,4.184284
2017-01-10,12.055555555555555,16.38888888888889,6.388888888888889,8.666666666666666,0.0,2.314998,8.690436
2017-01-11,14.11111111111111,18.000000000000004,11.72222222222222,11.38888888888889,0.0,2.4178868,8.368568
2017-01-12,12.333333333333336,19.5,7.000000000000001,4.833333333333335,0.0,2.2121092,7.885766
2017-01-13,12.388888888888888,17.88888888888889,6.277777777777776,9.888888888888888,0.7619999999999999,1.6976652,6.115492
2017-01-14,12.333333333333336,16.0,5.999999999999998,7.777777777777778,0.0,2.1092204,8.690436
2017-01-15,10.22222222222222,17.0,4.27777777777778,1.6666666666666667,0.0,3.2924416,8.0467
2017-01-16,7.722222222222222,15.5,-1.0000000000000004,0.4999999999999992,0.0,1.3375544,
2017-01-17,10.055555555555555,16.5,4.61111111111111,5.555555555555555,0.0,1.543332,9.495106
2017-01-18,10.833333333333334,17.0,5.0,6.611111111111111,0.0,3.7554412,8.529501999999999
2017-01-19,7.333333333333335,12.611111111111112,4.000000000000002,3.722222222222224,1.016,1.7491096,7.24203
2017-01-20,8.61111111111111,13.22222222222222,3.4999999999999982,4.888888888888888,6.095999999999999,4.2698852,6.759228
2017-01-21,8.666666666666666,13.0,4.888888888888888,5.666666666666668,7.112,2.314998,7.563898
2017-01-22,10.5,15.0,6.111111111111111,6.722222222222223,7.874,3.7554412,7.24203
2017-01-23,11.11111111111111,15.38888888888889,7.722222222222222,6.388888888888889,8.889999999999999,3.6525524,6.759228
2017-01-24,10.22222222222222,15.61111111111111,6.277777777777776,5.833333333333333,3.048,2.2635536000000003,7.724831999999999
2017-01-25,9.27777777777778,15.0,3.277777777777777,4.777777777777779,0.0,1.4404432,7.402963999999999
2017-01-26,10.72222222222222,18.000000000000004,2.999999999999999,6.111111111111111,0.7619999999999999,3.1895528,5.9545580000000005
2017-01-27,14.000000000000002,17.72222222222222,11.277777777777777,10.77777777777778,5.08,5.9675504,6.276426
2017-01-28,12.77777777777778,17.0,9.38888888888889,9.72222222222222,0.508,1.8519984,7.402963999999999
2017-01-29,11.11111111111111,17.0,5.499999999999999,7.833333333333333,0.0,1.7491096,6.920162
2017-01-30,11.61111111111111,18.000000000000004,5.7222222222222205,8.555555555555555,0.0,1.1832212,6.759228
2017-01-31,13.27777777777778,18.72222222222222,8.0,9.77777777777778,0.0,3.0352196000000005,5.63269
2017-02-01,12.611111111111112,17.27777777777778,8.88888888888889,9.611111111111107,0.0,2.0063316,7.0810960000000005
2017-02-02,12.666666666666664,18.111111111111107,8.38888888888889,10.388888888888893,2.032,2.4178868,5.310822
2017-02-03,14.444444444444445,19.27777777777778,10.999999999999998,11.833333333333332,0.0,2.4693312,5.793624
2017-02-04,15.166666666666666,19.0,10.77777777777778,10.944444444444446,0.0,3.3953304,5.9545580000000005
2017-02-05,14.11111111111111,17.61111111111111,9.000000000000002,10.555555555555555,0.254,2.829442,6.759228
2017-02-06,13.27777777777778,21.0,7.000000000000001,8.444444444444446,0.0,1.9034428,6.598293999999999
2017-02-07,12.611111111111112,20.611111111111107,7.000000000000001,8.722222222222223,0.0,1.8519984,6.920162
2017-02-08,12.22222222222222,18.277777777777786,7.388888888888887,8.333333333333334,0.0,2.3664424,7.402963999999999
2017-02-09,11.666666666666666,19.0,0.9999999999999984,6.555555555555554,0.0,2.57222,7.885766
2017-02-10,11.166666666666666,13.38888888888889,9.000000000000002,9.555555555555555,17.018,2.2121092,6.276426
2017-02-11,12.166666666666666,16.38888888888889,9.11111111111111,8.61111111111111,8.889999999999999,3.2924416,7.402963999999999
2017-02-12,15.055555555555555,17.22222222222222,11.61111111111111,10.61111111111111,4.064,4.887218,7.24203
2017-02-13,14.000000000000002,18.38888888888889,10.0,10.0,14.986,5.916106,7.402963999999999
2017-02-14,12.944444444444445,19.0,7.000000000000001,9.72222222222222,4.064,2.4178868,8.529501999999999
2017-02-15,12.611111111111112,18.5,7.000000000000001,10.22222222222222,0.0,1.3889988000000002,5.9545580000000005
2017-02-16,13.777777777777777,22.0,5.999999999999998,10.77777777777778,0.0,1.028888,5.149888000000001
2017-02-17,13.722222222222223,19.111111111111114,9.000000000000002,11.11111111111111,0.0,1.28611,5.471756
2017-02-18,13.333333333333334,17.77777777777778,9.38888888888889,11.444444444444445,0.0,1.5947764,4.02335
2017-02-19,12.611111111111112,14.77777777777778,10.0,10.5,0.7619999999999999,1.5947764,6.276426
2017-02-20,13.055555555555555,17.0,10.0,10.61111111111111,0.0,1.0803324,7.24203
2017-02-21,14.11111111111111,16.5,11.277777777777777,11.555555555555554,2.032,2.2635536000000003,5.793624
2017-02-22,13.777777777777777,17.38888888888889,10.999999999999998,11.88888888888889,0.0,1.543332,4.9889540000000006
2017-02-23,13.666666666666666,16.0,11.72222222222222,11.944444444444445,65.024,4.629996,4.82802
2017-02-24,15.333333333333334,17.38888888888889,11.222222222222223,12.833333333333334,0.254,2.57222,5.793624
2017-02-25,14.555555555555555,17.72222222222222,10.999999999999998,11.666666666666666,0.0,1.543332,6.43736
2017-02-26,14.166666666666666,18.000000000000004,10.88888888888889,10.388888888888893,0.0,1.28611,8.529501999999999
2017-02-27,13.777777777777777,17.77777777777778,9.000000000000002,10.333333333333334,0.0,1.4404432,6.920162
2017-02-28,13.333333333333334,18.88888888888889,8.777777777777777,9.38888888888889,0.0,2.1092204,6.920162
2017-03-01,12.555555555555555,18.5,8.0,8.61111111111111,0.0,2.4178868,8.368568
2017-03-02,12.77777777777778,19.111111111111114,7.000000000000001,10.055555555555555,0.0,1.5947764,6.598293999999999
2017-03-03,13.499999999999998,17.22222222222222,9.000000000000002,9.166666666666666,0.508,3.85833,5.310822
2017-03-04,12.388888888888888,16.0,8.777777777777777,8.777777777777777,6.095999999999999,4.9386624,6.276426
2017-03-05,14.61111111111111,18.277777777777786,10.0,11.88888888888889,0.508,1.9034428,4.82802
2017-03-06,14.444444444444445,18.5,9.77777777777778,11.944444444444445,0.0,2.5207756000000003,5.793624
2017-03-07,14.11111111111111,21.611111111111114,8.38888888888889,11.277777777777777,0.0,2.314998,5.793624
2017-03-08,14.61111111111111,20.500000000000004,8.0,12.666666666666664,0.0,1.1317768,5.310822
2017-03-09,18.5,29.61111111111111,9.611111111111107,12.166666666666666,0.0,0.771666,7.0810960000000005
2017-03-10,17.83333333333333,26.611111111111114,11.500000000000002,11.666666666666666,0.0,1.1317768,8.207633999999999
2017-03-11,16.666666666666668,25.88888888888889,8.777777777777777,10.27777777777778,0.0,1.6976652,7.563898
2017-03-12,14.88888888888889,19.0,9.000000000000002,11.833333333333332,0.0,1.6462208,6.276426
2017-03-13,13.22222222222222,16.61111111111111,8.0,7.388888888888887,0.0,3.343886,8.529501999999999
2017-03-14,12.555555555555555,17.0,7.722222222222222,9.000000000000002,5.08,2.7779976000000004,7.885766
2017-03-15,13.166666666666668,18.61111111111111,6.388888888888889,9.444444444444445,2.032,2.2635536000000003,6.920162
2017-03-16,14.666666666666666,17.5,7.88888888888889,11.88888888888889,6.095999999999999,1.6976652,7.0810960000000005
2017-03-17,14.444444444444445,19.22222222222221,9.77777777777778,12.055555555555555,8.889999999999999,2.057776,6.115492
2017-03-18,15.444444444444445,22.27777777777777,10.999999999999998,12.055555555555555,0.0,2.0063316,7.885766
2017-03-19,14.833333333333334,19.22222222222221,9.5,12.388888888888888,0.0,1.8519984,5.471756
2017-03-20,15.11111111111111,19.0,11.77777777777778,11.833333333333332,0.0,3.4982192,4.9889540000000006
2017-03-21,14.444444444444445,18.22222222222222,8.0,9.333333333333332,0.0,2.314998,8.207633999999999
2017-03-22,13.22222222222222,17.22222222222222,7.611111111111112,8.777777777777777,2.032,2.0063316,7.885766
2017-03-23,11.555555555555554,15.0,10.0,7.5,12.954,2.829442,6.759228
2017-03-24,10.444444444444445,14.77777777777778,7.000000000000001,6.333333333333332,30.988,3.8068856,7.0810960000000005
2017-03-25,11.166666666666666,16.27777777777778,5.611111111111112,6.111111111111111,14.986,2.3664424,9.977908
2017-03-26,13.055555555555555,18.277777777777786,5.7222222222222205,7.777777777777778,0.0,3.5496636,9.977908
2017-03-27,13.777777777777777,19.0,9.000000000000002,9.77777777777778,0.0,2.2635536000000003,9.65604
2017-03-28,14.055555555555554,20.72222222222222,8.0,10.444444444444445,0.0,2.6751088000000003,7.724831999999999
2017-03-29,14.22222222222222,20.38888888888889,8.0,10.999999999999998,0.0,1.3889988000000002,6.115492
2017-03-30,15.055555555555555,21.22222222222222,8.88888888888889,11.666666666666666,0.0,1.0803324,5.310822
2017-03-31,15.944444444444445,20.27777777777778,10.999999999999998,13.333333333333334,0.0,1.7491096,4.345218
2017-04-01,15.555555555555555,19.111111111111114,10.999999999999998,11.72222222222222,0.0,2.7779976000000004,6.598293999999999
2017-04-02,14.055555555555554,19.77777777777777,8.0,10.22222222222222,0.0,2.57222,8.207633999999999
2017-04-03,14.38888888888889,20.500000000000004,7.722222222222222,11.38888888888889,0.0,1.7491096,7.24203
2017-04-04,15.833333333333334,23.77777777777778,9.000000000000002,10.999999999999998,0.0,2.2121092,6.598293999999999
2017-04-05,15.944444444444445,23.88888888888889,8.777777777777777,9.944444444444445,0.0,2.2121092,6.759228
2017-04-06,18.05555555555556,27.27777777777777,8.0,7.388888888888887,0.0,3.1381084,5.793624
2017-04-07,21.166666666666664,29.0,13.88888888888889,0.3888888888888904,0.0,4.2698852,8.690436
2017-04-08,18.000000000000004,26.11111111111111,10.999999999999998,8.61111111111111,0.0,2.3664424,7.724831999999999
