,mean_temperature,max_temperature,min_temperature,mean_dewPoint,total_precipitation,mean_windSpeed,mean_visibility
2017-01-01,12.0,18.000000000000004,5.0,1.0555555555555547,0.0,0.9259992,
2017-01-02,12.22222222222222,20.0,0.9999999999999984,1.555555555555554,0.0,1.2346656,
2017-01-03,13.444444444444446,20.0,2.000000000000001,-0.2777777777777778,0.0,1.4404432,
2017-01-04,13.777777777777777,21.0,2.999999999999999,0.4999999999999992,0.0,1.7491096,
2017-01-05,14.166666666666666,21.0,2.999999999999999,2.722222222222221,0.0,0.8231104,
2017-01-06,13.722222222222223,19.0,5.0,3.555555555555555,0.0,0.8231104,
2017-01-07,14.000000000000002,20.0,2.999999999999999,2.833333333333334,0.0,1.1317768,
2017-01-08,12.0,17.0,2.999999999999999,3.444444444444446,0.0,1.28611,
2017-01-09,13.22222222222222,18.000000000000004,2.999999999999999,2.5,0.0,0.9774436,
2017-01-10,10.166666666666664,16.0,0.9999999999999984,4.222222222222223,0.0,1.6976652,
2017-01-11,11.944444444444445,17.0,2.000000000000001,4.666666666666666,0.0,2.1606648,
2017-01-12,13.333333333333334,20.0,2.000000000000001,2.7777777777777777,0.0,1.3889988000000002,
2017-01-13,12.333333333333336,17.0,4.000000000000002,3.777777777777776,0.0,0.9774436,
2017-01-14,10.0,15.0,4.000000000000002,6.555555555555554,0.0,1.028888,5.310822
2017-01-15,10.555555555555555,17.0,0.0,2.833333333333334,0.0,0.8231104,
2017-01-16,11.222222222222223,17.0,2.000000000000001,-0.2222222222222214,0.0,1.028888,
2017-01-17,11.555555555555554,17.0,0.9999999999999984,0.8333333333333334,0.0,1.4918876,
2017-01-18,9.77777777777778,14.000000000000002,0.0,1.1111111111111112,0.0,2.0063316,9.977908
2017-01-19,4.944444444444444,7.000000000000001,2.999999999999999,4.055555555555554,0.0,1.800554,8.368568
2017-01-20,6.77777777777778,9.000000000000002,4.000000000000002,2.722222222222221,0.0,1.6976652,9.977908
2017-01-21,7.722222222222222,10.0,5.0,3.777777777777776,0.0,1.28611,9.012304
2017-01-22,8.944444444444445,12.0,2.000000000000001,3.6666666666666674,0.0,1.0803324,9.65604
2017-01-23,7.777777777777778,10.0,5.999999999999998,6.222222222222224,0.0,1.800554,8.0467
2017-01-24,9.27777777777778,13.0,2.000000000000001,2.666666666666665,0.0,1.4404432,9.977908
2017-01-25,9.944444444444445,17.0,-1.0000000000000004,0.4444444444444428,0.0,1.8519984,
2017-01-26,14.444444444444445,20.0,5.999999999999998,2.333333333333335,0.0,1.6462208,9.977908
2017-01-27,12.77777777777778,15.0,10.0,10.166666666666664,0.0,3.6525524,8.207633999999999
2017-01-28,12.944444444444445,17.0,5.0,8.499999999999998,0.0,1.28611,
2017-01-29,13.27777777777778,19.0,4.000000000000002,6.833333333333332,0.0,0.771666,
2017-01-30,15.166666666666666,22.0,4.000000000000002,5.833333333333333,0.0,1.028888,
2017-01-31,14.444444444444445,20.0,7.000000000000001,7.722222222222222,0.0,2.7779976000000004,9.977908
2017-02-01,13.499999999999998,17.0,8.0,8.333333333333334,0.0,1.5947764,9.977908
2017-02-02,13.777777777777777,18.000000000000004,5.999999999999998,7.777777777777778,0.0,1.7491096,9.977908
2017-02-03,13.555555555555555,19.0,5.999999999999998,8.833333333333334,0.0,1.3375544,6.115492
2017-02-04,12.833333333333334,17.0,7.000000000000001,9.833333333333336,0.0,1.1832212,9.334172
2017-02-05,15.0,19.0,8.0,8.333333333333334,0.0,1.6976652,9.977908
2017-02-06,16.555555555555557,24.0,2.999999999999999,4.722222222222222,0.0,1.8519984,
2017-02-07,17.0,23.000000000000004,2.000000000000001,1.7777777777777797,0.0,1.6976652,
2017-02-08,15.444444444444445,22.0,4.000000000000002,4.333333333333332,0.0,1.3889988000000002,
2017-02-09,15.833333333333334,23.000000000000004,2.999999999999999,2.2777777777777786,0.0,2.4693312,
2017-02-10,12.27777777777778,15.0,9.000000000000002,8.777777777777777,0.0,1.6976652,6.276426
2017-02-11,12.666666666666664,17.0,4.000000000000002,7.222222222222222,0.0,2.1092204,9.977908
2017-02-12,17.83333333333333,22.0,10.0,10.833333333333334,0.0,1.4404432,9.977908
2017-02-13,13.833333333333334,17.0,10.999999999999998,7.666666666666665,0.0,2.9837752,9.977908
2017-02-14,13.499999999999998,18.000000000000004,5.999999999999998,8.666666666666666,0.0,1.3889988000000002,9.977908
2017-02-15,16.0,22.0,5.0,8.166666666666668,0.0,0.9259992,9.977908
2017-02-16,18.33333333333333,23.000000000000004,7.000000000000001,6.166666666666668,0.0,1.543332,9.977908
